RowID,intern_num,maxsal,minsal,city,scale,id_1,c_desc,month_num,day,c_tag,name,industry,c_name,
413,8,100,50,广州,50-150人,inn_jnkjkk1pbbl3,一家出身于南方报业集团，定位为“策略、资源、创意、运营”四轮驱动的愿景营销机构,3,3,"['不限工作经验', '繁华商区办公', '精英团队', '公司前景大', '员工年度旅游', '年轻、活力', '可转正', '学到东西', '交流环境轻松']",创意设计官(实习生）,互联网/游戏/软件,精英传媒,
414,5,150,100,杭州,50-150人,inn_lnjwinqb7m33,用科技为机器人自主移动赋能,3,4,"['福利优越', '环境优雅', '丰富团建活动', '上升通道', '技术大牛带教', '五险一金绩效', '福利丰厚', '年终奖', '开放创新', '氛围好有提升']",人力资源实习生,互联网/游戏/软件,迦智科技,
415,22,100,100,北京,150-500人,inn_ri4grnmi0x8t,数据驱动精益成长,3,5,"['大数据', '分析', '易观千帆', '研究', '薪酬福利好']",视频运营/剪辑实习生,互联网/游戏/软件,易观,
416,22,150,120,北京,150-500人,inn_u9mwsrwwks21,数据驱动精益成长,3,5,"['大数据', '分析', '易观千帆', '研究', '薪酬福利好']",内容运营实习生,互联网/游戏/软件,易观,
417,48,150,100,广州,2000人以上,inn_2hkogfaeuhul,追求完美、追求和谐的开发的文化氛围,6,5,"['融洽团队氛围', '花园式公司', '餐厅', '大集团背景', '发展', '有转正机会', '高端资源平台', '导师制培训', '有中午饭', '提供公寓式宿舍']",DSP工程师【2021届】,电子/通信/硬件,京信通信集团,
418,48,150,100,广州,2000人以上,inn_4eeyrrvpmbmg,追求完美、追求和谐的开发的文化氛围,6,5,"['融洽团队氛围', '花园式公司', '餐厅', '大集团背景', '发展', '有转正机会', '高端资源平台', '导师制培训', '有中午饭', '提供公寓式宿舍']",C++软件工程师【2021届】,电子/通信/硬件,京信通信集团,
419,5,150,100,上海,50-150人,inn_r0qzqwxvw9qo,业内领先的游戏研发和运营商,4,5,[],韩语实习生,互联网/游戏/软件,时与光网络,
420,7,200,150,杭州,50-150人,inn_cmrikpb0nibg,自有美妆品牌孵化企业,3,5,"['发展机会', '年轻人的世界', '学习平台多', '餐补', '五险一金', '早十晚七双休']",摄影助理,互联网/游戏/软件,北京拍店,
421,62,100,80,合肥,2000人以上,inn_qnnmno9hydqy,亚信是亚太区大、全球第二大的业务运营支撑软件供应商,6,5,[],产品经理实习生（驻场：界首）,互联网/游戏/软件,亚信科技,
422,5,150,120,杭州,500-2000人,inn_sldv47twr34d,国内领先的系统集成整体方案提供商,4,4,"['福利待遇佳', '成长空间广', '培训机会多', '一对一导师', '免费班车', '氛围融洽']",视频标注工程师-实习,互联网/游戏/软件,中控信息,
